acousticness,danceability,instrumentalness,liveness,speechiness,valence,energy,track_id,name
0.152,0.812,0.00254,0.09140000000000001,0.0833,0.396,0.736,3FkeNbs9Zeiqkr3WkbOiGp,Envolver
0.229,0.714,0.0008300000000000001,0.0942,0.0514,0.434,0.645,28GCbKgjlVD9eDmasGbe0T,Me Fui de Vacaciones
0.335,0.5630000000000001,0.0,0.0849,0.154,0.6880000000000001,0.664,4ZtFanR9U6ndgddUvNcjcG,good 4 u
0.234,0.6950000000000001,0.0,0.081,0.317,0.5750000000000001,0.636,2rurDawMfoKP4uHyb2kJBt,Te Felicito
0.72,0.629,0.0031400000000000004,0.0604,0.055,0.197,0.547,75FEaRjZTKLhTrFGsfMUXR,Running Up That Hill (A Deal With God)
0.342,0.52,0.00101,0.311,0.0557,0.662,0.731,4Dvkj6JhhA12EX05fT7y2e,As It Was
0.0901,0.911,2.6800000000000004e-05,0.09330000000000001,0.08170000000000001,0.425,0.712,6Sq7ltF9Qa7SNFBsV5Cogx,Me Porto Bonito
0.08,0.647,1.34e-06,0.528,0.0413,0.268,0.686,3k3NWokhRRkEPhCzPmV8TW,Ojitos Lindos
0.0993,0.65,0.00029099999999999997,0.126,0.253,0.187,0.715,1IHWl5LamUGEuP4ozKQSXZ,Tití Me Preguntó
0.294,0.804,1.18e-06,0.115,0.0333,0.292,0.674,6Xom58OOXk2SoU711L2IXO,Moscow Mule
0.14100000000000001,0.801,1.73e-05,0.0639,0.0516,0.234,0.47500000000000003,5Eax0qFko2dh7Rl2lYs3bx,Efecto
0.298,0.714,0.0,0.106,0.0468,0.901,0.728,1qEmFfgcLObUfQm0j1W2CK,Late Night Talking
0.656,0.87,0.008230000000000001,0.11,0.0541,0.53,0.516,7dSZ6zGTQx66c2GF91xCrb,PROVENZA
0.0995,0.836,0.0,0.335,0.0656,0.722,0.743,1PckUlxKqWQs3RlWXVBLw3,About Damn Time
0.0151,0.8290000000000001,0.000543,0.242,0.0897,0.47100000000000003,0.799,4tYFy8ALRjIZvnvSLw5lxN,Party
0.121,0.733,0.0,0.121,0.0751,0.47200000000000003,0.67,0O6u0VJ46W86TxN9wgyqDj,I Like You (A Happier Song) (with Doja Cat)
0.44,0.761,6.7e-06,0.0921,0.0944,0.531,0.525,02MWAaffLxlfxAUY7c5dvx,Heat Waves
0.234,0.6950000000000001,0.0,0.081,0.317,0.5750000000000001,0.636,2rurDawMfoKP4uHyb2kJBt,Te Felicito
0.111,0.902,3.18e-06,0.111,0.109,0.332,0.582,0wHFktze2PHC5jDt3B17DC,First Class
0.0383,0.591,0.0,0.10300000000000001,0.0483,0.47800000000000004,0.764,5PjdY0CKGZdEuoNab3yDmX,STAY (with Justin Bieber)
0.182,0.756,0.0,0.333,0.040100000000000004,0.9560000000000001,0.6970000000000001,2DB4DdfCFMw1iaR6JaR03a,Bam Bam (feat. Ed Sheeran)
0.038,0.669,0.0,0.113,0.153,0.377,0.773,32vE1nuG8T9c8bhmZdRY6d,Cooped Up (with Roddy Ricch)
0.022500000000000003,0.795,0.0,0.658,0.0419,0.419,0.684,41oY4WCTj5kccfesTVFnvN,Tarot
0.0228,0.41000000000000003,0.0,0.116,0.046700000000000005,0.08990000000000001,0.611,58HvfVOeJY7lUuCqF0m3ly,MIDDLE OF THE NIGHT
0.356,0.5640000000000001,0.0,0.17500000000000002,0.307,0.607,0.903,1dm6z1fWB0cErMszU25dy2,Después de la Playa
0.0354,0.795,7.25e-05,0.0915,0.0309,0.934,0.8,6JIC3hbC28JZKZ8AlAqX8h,Cold Heart - PNAU Remix
0.185,0.601,2.9100000000000003e-05,0.41500000000000004,0.0478,0.441,0.741,6I3mqTwhRpn34SLVafSH7G,Ghost
0.23700000000000002,0.728,0.0,0.434,0.266,0.555,0.783,1HhNoOuqm1a5MXYEgAFl8o,Enemy (with JID) - from the series Arcane League of Legends
0.305,0.787,4.55e-05,0.122,0.053200000000000004,0.222,0.546,5CzixCxDkRXX9mScCmah8O,Un Ratito
0.896,0.507,1.97e-05,0.0966,0.04,0.386,0.294,6uvh0In7u1Xn4HgxOfAn8O,Matilda
0.727,0.539,0.0,0.17400000000000002,0.028800000000000003,0.227,0.508,0T5iIrXA4p5GsubkhuBIKV,Until I Found You
0.0845,0.836,0.0,0.138,0.06570000000000001,0.902,0.7030000000000001,7FlQk2gJ6TBrHHiidvdR2O,MAMIII
0.258,0.72,0.0568,0.107,0.04,0.357,0.715,5LYMamLv12UPbemOaTPyeV,Music For a Sushi Restaurant
0.09240000000000001,0.87,4.6e-05,0.0534,0.077,0.8320000000000001,0.548,1O2pcBJGej0pmH2Y9XZMs6,Una Noche en Medellín
0.0888,0.8240000000000001,0.0029400000000000003,0.117,0.0854,0.881,0.764,6Uj1ctrBOjOas8xZXGqKk4,Woman
0.0221,0.741,0.0,0.0476,0.06720000000000001,0.892,0.6910000000000001,5Z9KJZvQzH6PFmb8SNkxuk,INDUSTRY BABY (feat. Jack Harlow)
0.314,0.463,0.0,0.06860000000000001,0.34,0.339,0.642,59nOXPmaKlBfGMDeOVGrIK,WAIT FOR U (feat. Drake & Tems)
0.484,0.686,0.00144,0.17500000000000002,0.0398,0.626,0.445,51Zw1cKDgkad0CXv23HCMU,Daylight
0.281,0.788,0.0,0.0424,0.08560000000000001,0.8220000000000001,0.859,50nfwKoDiSYg8zOCREWAm5,Shivers
0.037,0.791,2.19e-05,0.0814,0.11,0.592,0.862,7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa)
0.515,0.671,0.00041099999999999996,0.17200000000000001,0.10300000000000001,0.262,0.636,3uUuGVFu1V7jTQL60S1r8z,Where Are You Now
0.356,0.869,0.00125,0.0878,0.07830000000000001,0.511,0.6940000000000001,6mmPpaltUZK7xjNlBPQQ0p,Desesperados
0.275,0.872,0.0,0.17,0.0492,0.93,0.588,5kVZxyMY1gfdCLiChsfjn1,Yo No Soy Celoso
0.152,0.812,0.00254,0.09140000000000001,0.0833,0.396,0.736,3FkeNbs9Zeiqkr3WkbOiGp,Envolver
0.233,0.802,1.9200000000000003e-05,0.114,0.20700000000000002,0.26,0.846,0OTNHGKcqQbk51bOYe462Y,ULTRA SOLO
0.158,0.8240000000000001,4.110000000000001e-05,0.077,0.0473,0.757,0.6970000000000001,7fYRg3CEbk6rNCuzNzMT06,Potion (with Dua Lipa & Young Thug)
0.0182,0.712,6.089999999999999e-06,0.511,0.25,0.388,0.861,06JvOZ39sK8D8SqiqfaxDU,True Love
